MrpDate,Org,PlnrCd,Planner,ExCd,Exception,days,Item,Description,MakeBuy,xSignal,Buyer,SupplyType,xOrder,Quantity,DueDate,FromDate,ToDate,ExtCost,StdCst,Vendor,VendNum
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,17,1111349-105,LINK,buy,DCI,"Munoz, Eric",Purchase order,EM3577BP(12),250,,42356,42373,1107.99,4.43,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,6,1111378-01,BUCKLE ASSY,make,,,Discrete job,1967884,3,,42342,42348,366.96,122.32,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,68,1111383-01,"LATCH, HOOK",buy,,"Munoz, Eric",Purchase order,EM3800,1500,,42396,42464,1644.48,1.1,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,38,1111386-01,"RING, RESTRAINER",buy,DCI,"Munoz, Eric",Purchase order,YA0435BP(6),100,,42360,42398,642.63,6.43,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,26,1111418-01,"ANCHOR, LAP BELT",buy,DCI,"Munoz, Eric",Purchase order,EM3399BP(2),50,,42354,42380,428.62,8.57,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,47,1111430-51,ROTARY BUCKLE ASSY,make,,,Discrete job,1966726,15,,42328,42375,1174.42,78.29,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,30,1111432-01,"HANDLE, FOUR VANE",buy,DCI,"Munoz, Eric",Purchase order,EM3286BP(8),600,,42361,42391,1525.52,2.54,SUPERIOR MOLD COMPANY,14002814
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,492,1111468-01,RESTRAINER RING,buy,DCI,"Munoz, Eric",Purchase order,JA014BP(18),17,,41857,42349,97.15,5.71,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,7,1111468-01,RESTRAINER RING,buy,DCI,"Munoz, Eric",Purchase order,EM3405BP(7),450,,42349,42356,2571.69,5.71,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,327,1111468-01,RESTRAINER RING,buy,DCI,"Munoz, Eric",Purchase order,YA0014BP(6),23,,42025,42352,131.44,5.71,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,32,1111474-01,"LOAD PLATE, ROTARY BUCKLE",buy,DCI,"Munoz, Eric",Purchase order,EM3061BP(11),500,,42356,42388,11330.61,22.66,A L INDUSTRIES INC,5026045
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,26,1111477-03,"ANCHOR, LAP BELT",buy,DCI,"Munoz, Eric",Purchase order,EM3303BP(11),1200,,42354,42380,2939.08,2.45,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,34,1111477-03,"ANCHOR, LAP BELT",buy,DCI,"Munoz, Eric",Purchase order,EM3303BP(12),1200,,42360,42394,2939.08,2.45,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,1,1111477-06,"ANCHOR, LAP BELT",buy,DCI,"Munoz, Eric",Purchase order,EM3833,25,,42382,42383,500.05,20,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,34,1111477-103,"ANCHOR, LAP BELT",buy,DCI,"Munoz, Eric",Purchase order,EM3048BP(9),700,,42354,42388,2187.98,3.13,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,1,1111497-01,DOG,buy,DCI,"Munoz, Eric",Purchase order,EM3774BP(1),1500,,42359,42360,2781.63,1.85,CAPSTAN CALIFORNIA,14000099
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,18,1111498-09,BOOT,buy,DCI,"Munoz, Eric",Purchase order,EM3170BP(8),500,,42376,42394,1930.23,3.86,S&C PLASTIC COATING LLC,14002477
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,18,1111498-11,BOOT,buy,DCI,"Munoz, Eric",Purchase order,EM3171BP(12),300,,42376,42394,1189.63,3.97,S&C PLASTIC COATING LLC,14002477
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,94,1111519-01,BUCKLE PAD PATTERN,make,,"Munoz, Eric",Discrete job,1967414,100,,42391,42485,97.71,0.98,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,2,1111526-01,"RING, HANDLE NH-90",buy,SCH,"Munoz, Eric",Purchase order,EM3810,100,,42394,42396,6674.74,66.75,TAMSHELL CORP,14000955
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,5,1111530-01-001,CROTCH STRAP ASSY,make,,,Discrete job,1966227,1,,42356,42361,48.62,48.62,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,202,1111547-01,FRAME,buy,DCI,"Munoz, Eric",Purchase order,EM3033BP(5),60,,42153,42355,510.84,8.51,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,75,1111547-01,FRAME,buy,DCI,"Munoz, Eric",Purchase order,EM3033BP(10),95,,42347,42422,808.83,8.51,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,9,1111547-01,FRAME,buy,DCI,"Munoz, Eric",Purchase order,EM3647BP(3),1000,,42347,42356,8513.99,8.51,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,61,1111547-01,FRAME,buy,DCI,"Munoz, Eric",Purchase order,EM3647BP(2),370,,42347,42408,3150.18,8.51,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,75,1111547-02,FRAME,buy,DCI,"Munoz, Eric",Purchase order,EM3242BP(4),100,,42347,42422,758.1,7.58,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,189,1111547-02,FRAME,buy,DCI,"Munoz, Eric",Purchase order,EM3242BP(3),87,,42233,42422,659.54,7.58,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,34,1111555-01,SPRING,buy,DCI,"Munoz, Eric",Purchase order,EM3720BP(2),1225,,42354,42388,557.2,0.45,SUPERIOR SPRING CO,13058370
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,27,1111568-01,"FAX KIT, ROTARY HANDLE, BUCKLE HOUSING, HANDLE BUSHING",buy,DCI,"Munoz, Eric",Purchase order,EM3549BP(12),510,,42361,42388,1516.78,2.97,AMBRIT ENGINEERING CORP,5050468
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,6,1111572-55-001,LAP BELT ASSEMBLY,make,,,Discrete job,1960787,22,,42341,42347,5728.88,260.4,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,14,1111572-55-001,LAP BELT ASSEMBLY,make,,,Discrete job,1966589,1,,42347,42361,260.4,260.4,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,3,1111572-73-001,LAP BELT ASSY,make,,,Discrete job,1967769,3,,42353,42356,386.52,128.84,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,33,1117119-05,RESTRAINT SYSTEM,make,,,Discrete job,1969859,1,,42377,42410,760.09,760.09,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,23,1117310-03,FITTING (BRIGHT CHROME),buy,DCI,"Munoz, Eric",Purchase order,EM3381BP(14),20,,42360,42383,157.45,7.87,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,26,1117488-01,"SPRING, SLIDE PART ADJ",buy,DCI,"Munoz, Eric",Purchase order,EM3257BP(11),2250,,42354,42380,865.98,0.38,SUPERIOR SPRING CO,13058370
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,2,1117488-03,"SPRING, SLIDE PART ADJ",buy,DCI,"Munoz, Eric",Purchase order,EM3307BP(10),925,,42354,42356,463.9,0.5,SUPERIOR SPRING CO,13058370
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,25,1117489-03,"FRAME, ADJUSTER, SLIDEBAR, IN-LINE (BLACK)",buy,DCI,"Munoz, Eric",Purchase order,EM3330BP(8),1000,,42356,42381,3965.42,3.97,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,6,1117489-05,"FRAME, ADJUSTER, SLIDEBAR, IN-LINE (GRAY)",buy,,"Munoz, Eric",Purchase order,EM3805,35,,42347,42353,1924.69,54.99,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,5,1117489-41,"FRAME, ADJUSTER, SLIDEBAR, IN-LINE, LT. WT. (BLACK)",buy,DCI,"Munoz, Eric",Purchase order,EM3302BP(13),75,,42356,42361,1482.66,19.77,ALL NEW STAMPING CO,5000758
