ID,Order#,ShipDate,ExtPrice
635,262227,2015-04-21,324
636,262227,2015-04-21,324
637,262227,2015-06-29,1694
638,262237,2015-01-30,1768
639,262238,2015-02-09,1768
640,262239,2015-02-27,1768
641,262240,2015-03-13,1768
642,262241,2015-04-29,14672
643,262241,2015-05-27,14672
644,262241,2015-06-29,14672
645,262241,2015-07-31,14672
646,262241,2015-08-26,11004
647,262241,2015-09-11,3668
648,262241,2015-09-23,14672
649,262241,2015-10-13,14672
650,253753,2015-04-20,2378
651,253753,2015-06-29,4756
652,253753,2015-08-07,2378
653,253753,2015-08-24,2378
654,262263,2015-02-17,17472.91
655,262263,2015-02-27,7488.39
656,262279,2015-02-10,2318.64
657,262281,2015-06-02,7777
658,262319,2015-01-14,11382
659,256499,2015-02-27,3458.74
660,256499,2015-02-27,5188.11
661,256499,2015-02-27,3458.74
662,256499,2015-03-13,1729.37
663,256499,2015-03-19,3458.74
664,256499,2015-03-26,1729.37
665,256499,2015-03-26,3458.74
666,262326,2015-04-17,0
667,262326,2015-04-17,0
668,262326,2015-04-09,0
669,262326,2015-04-09,0
670,262326,2015-04-17,0
671,262326,2015-04-17,0
672,262326,2015-04-09,0
673,262326,2015-04-09,0
674,262326,2015-05-22,0
675,262326,2015-05-22,0
676,262340,2015-01-26,6703.2
677,262351,2015-02-27,52402
678,262351,2015-03-23,2758
679,262353,2015-08-27,34028
680,262367,2015-06-20,517.44
681,262380,2015-02-20,0
682,262383,2015-01-07,0
683,262384,2015-01-07,0
684,262388,2015-02-19,195.61
685,258855,2015-02-21,12000
686,262394,2015-04-21,1008
687,262397,2015-03-03,619.91
688,262399,2015-01-26,2544
689,262399,2015-02-17,2120
690,262399,2015-03-09,2544
691,262401,2015-03-10,76500
692,262409,2015-02-09,7650
693,262409,2015-02-24,7650
694,262409,2015-06-22,7650
695,262399,2015-01-26,2030
696,262399,2015-02-17,2436
697,262399,2015-03-09,2436
698,262418,2015-03-06,7729
699,262418,2015-05-07,7729
700,262420,2015-02-27,7650
701,262421,2015-05-07,7729
702,262425,2015-01-23,5292.56
703,262425,2015-01-23,255.56
704,262425,2015-01-23,5292.56
705,262425,2015-01-23,255.56
706,262425,2015-01-23,255.56
707,262425,2015-01-23,255.56
708,262425,2015-01-23,255.56
709,262425,2015-01-23,255.56
710,262436,2015-01-06,5812.17
711,262425,2015-01-28,5292.56
712,262451,2015-01-21,763
713,262455,2015-01-29,28014
714,262455,2015-01-29,22504
715,262425,2015-01-23,255.56
716,262425,2015-01-26,5292.56
717,262425,2015-01-23,255.56
718,262425,2015-01-28,5292.56
719,262425,2015-01-23,255.56
720,262425,2015-01-21,1427.22
721,262142,2015-05-07,1523.7
722,262460,2015-03-09,1383.8
723,262460,2015-02-26,1383.8
724,262460,2015-01-21,1383.8
725,262463,2015-02-26,14970
726,262463,2015-03-09,13972
727,262463,2015-03-17,9980
728,262463,2015-03-26,13972
729,262463,2015-04-07,8982
730,262463,2015-04-16,14970
731,262463,2015-04-29,13972
732,262464,2015-01-07,1158
733,262464,2015-01-16,1158
734,262464,2015-01-16,1158
735,262464,2015-01-19,1158
736,262464,2015-01-22,1158
737,262464,2015-01-27,1158
738,262464,2015-01-30,1158
739,262464,2015-02-04,1158
740,262464,2015-02-09,1158
741,262464,2015-02-11,1158
742,262464,2015-02-17,1158
743,262464,2015-02-17,1158
744,262466,2015-03-19,162
745,262466,2015-03-24,324
746,262466,2015-03-24,324
747,262466,2015-03-26,324
748,262466,2015-03-26,324
749,262466,2015-03-26,324
750,262466,2015-03-27,324
751,262466,2015-03-27,324
752,262466,2015-03-27,324
753,262466,2015-03-27,648
754,262466,2015-03-27,324
755,262466,2015-04-20,324
756,262466,2015-05-27,2904
757,262466,2015-04-13,4600
758,262480,2015-01-06,8965.44
759,262492,2015-07-30,0
760,262496,2015-02-23,2236
761,258554,2015-02-16,27185.04
762,258554,2015-02-20,4530.84
763,258554,2015-03-19,9061.68
764,258554,2015-03-26,27185.04
765,258554,2015-06-09,22654.2
766,258554,2015-08-28,22654.2
767,258554,2015-09-25,40777.56
768,258597,2015-05-18,2426.4
769,258597,2015-06-29,1941.12
770,262503,2015-01-21,5473.65
771,262503,2015-01-21,7663.11
772,262518,2015-01-09,466.5
773,262541,2015-02-25,7810
774,262552,2015-01-14,2396.73
775,262569,2015-02-27,1232.14
776,262578,2015-02-06,8094
777,262579,2015-02-25,1655
778,262581,2015-02-27,34670
779,262581,2015-03-25,17335
780,262581,2015-04-09,31203
781,262581,2015-04-30,24269
782,262581,2015-05-06,10401
783,262584,2015-01-09,26250
784,262589,2015-01-12,8265.84
785,262594,2015-01-09,8386.5
786,262594,2015-02-11,8386.5
787,262594,2015-03-18,8386.5
788,262594,2015-04-27,8386.5
789,262594,2015-01-09,3354.6
790,262594,2015-02-04,3354.6
791,262594,2015-03-02,3354.6
792,262599,2015-01-14,8928.66
793,262603,2015-02-27,4808
794,261674,2015-01-08,1544
795,261674,2015-01-16,1737
796,262604,2015-03-25,1768
797,262605,2015-03-27,1768
798,262606,2015-04-17,1768
799,262609,2015-02-25,28665
800,262610,2015-05-12,9200
801,262610,2015-05-11,324
802,262610,2015-05-11,648
803,262610,2015-05-11,324
804,262610,2015-04-15,9200
805,262610,2015-04-20,4600
806,262610,2015-04-20,27600
807,262610,2015-04-20,18400
808,262610,2015-04-30,9200
809,262610,2015-05-11,13800
810,262610,2015-05-15,9200
811,262610,2015-05-21,18400
812,262610,2015-04-13,9200
813,262610,2015-04-20,9200
814,262610,2015-05-11,162
815,262610,2015-05-11,324
816,262610,2015-05-11,324
817,262610,2015-05-11,324
818,262610,2015-06-29,1936
819,262610,2015-05-11,324
820,262610,2015-05-21,9200
821,262610,2015-05-21,9200
822,262610,2015-05-21,9200
823,262610,2015-05-26,13800
824,262618,2015-03-25,1300
825,262618,2015-05-23,1300
826,262618,2015-05-23,1300
827,262618,2015-08-17,1300
828,262622,2015-02-10,2246.68
829,262622,2015-03-02,2246.68
830,262625,2015-01-29,7906.56
831,262629,2015-06-02,7311.2
832,262636,2015-02-09,1083.5
833,262640,2015-02-17,11983.65
834,262658,2015-01-29,892.5
835,262664,2015-02-27,5224
836,262665,2015-04-10,5224
